champion,position,win_rate,tier,core_items,hard_counters
Galio,MID,50.0,4,"Hollow Radiance, Riftmaker, Zhonya's Hourglass, Mercury's Treads, Doran's Ring","Kayle, Hwei, Cassiopeia, Zilean, Rell"
Malphite,MID,51.0,3,"Malignance, Stormsurge, Shadowflame, Plated Steelcaps, Doran's Ring","Dr. Mundo, Swain, Anivia, Kassadin, Galio"
Kassadin,MID,50.0,4,"Tear of the Goddess, Rod of Ages, Muramana, Seraph's Embrace, Sorcerer's Shoes","Morgana, Nasus, Cho'Gath, Yasuo, Akali"
Irelia,MID,50.0,3,"Blade of The Ruined King, Hullbreaker, Wit's End, Mercury's Treads, Doran's Blade","Zac, Jax, Malphite, Nasus, Vex"
Yone,MID,49.0,4,"Blade of The Ruined King, Immortal Shieldbow, Infinity Edge, Berserker's Greaves, Doran's Blade","Kayle, Annie, Pantheon, Olaf, Wukong"
Pantheon,MID,50.0,4,"Eclipse, Sundered Sky, Black Cleaver, Mercury's Treads, Doran's Blade","Zoe, Fiddlesticks, Zilean, Anivia, Poppy"
Qiyana,MID,50.0,4,"Hubris, Profane Hydra, Serylda's Grudge, Ionian Boots of Lucidity, Doran's Blade","Swain, Malphite, Nasus, Warwick, Sejuani"
Vel'Koz,MID,52.0,3,"Luden's Echo, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Fiddlesticks, Shaco, Hwei, Annie, Kassadin"
Talon,MID,50.0,4,"Profane Hydra, Sundered Sky, Serylda's Grudge, Ionian Boots of Lucidity, Doran's Blade","Bel'Veth, Darius, Aatrox, Morgana, Pantheon"
Orianna,MID,48.0,5,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Aurelion Sol, Nasus, Ziggs, Mel, Ryze"
Nasus,MID,51.0,3,"Trinity Force, Bandlepipes, Frozen Heart, Ionian Boots of Lucidity, Doran's Shield","Anivia, Wukong, Pantheon, Sejuani, Darius"
Swain,MID,51.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Zhonya's Hourglass, Mercury's Treads, Doran's Ring","Milio, Fiddlesticks, Vel'Koz, Kalista, Vayne"
Ryze,MID,48.0,5,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Actualizer, Mercury's Treads","Vel'Koz, Brand, Aurelion Sol, Pantheon, Dr. Mundo"
Cassiopeia,MID,51.0,4,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Rylai's Crystal Scepter, Boots of Swiftness","Brand, Sion, Pantheon, Dr. Mundo, Yorick"
Kayle,MID,53.0,3,"Nashor's Tooth, Dusk and Dawn, Rabadon's Deathcap, Boots of Swiftness, Doran's Shield","Irelia, Vladimir, Anivia, Sion, Akali"
Mel,MID,45.0,5,"Luden's Echo, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Veigar, Aurelion Sol, Kayle, Sona, Zilean"
Ziggs,MID,51.0,4,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Aurelion Sol, Vel'Koz, Nilah, Cassiopeia, Irelia"
Taliyah,MID,50.0,5,"Seraph's Embrace, Rylai's Crystal Scepter, Liandry's Torment, Ionian Boots of Lucidity, Doran's Ring","Twisted Fate, Katarina, Ekko, Darius, Rammus"
Morgana,MID,50.0,4,"Blackfire Torch, Liandry's Torment, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Shaco, Fiddlesticks, Janna, Annie, Katarina"
Jayce,MID,49.0,4,"Tear of the Goddess, Youmuu's Ghostblade, Muramana, Serylda's Grudge, Ionian Boots of Lucidity","Olaf, Poppy, Irelia, Sion, Malphite"
Azir,MID,47.0,5,"Nashor's Tooth, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Jayce, Nasus, Xerath, Yasuo, Orianna"
Cho'Gath,MID,50.0,4,"Hextech Rocketbelt, Riftmaker, Dead Man's Plate, Mercury's Treads, Doran's Ring","Kayle, Udyr, Sett, Brand, Galio"
Smolder,MID,51.0,3,"Essence Reaver, Spear of Shojin, Rapid Firecannon, Ionian Boots of Lucidity, Doran's Blade","Yasuo, Kog'Maw, Veigar, Akshan, Irelia"
Jinx,ADC,53.0,1,"Hexoptics C44, Phantom Dancer, Infinity Edge, Berserker's Greaves, Doran's Blade","Katarina, Ziggs, Brand, Kalista, Kai'Sa"
Ashe,ADC,52.0,1,"Kraken Slayer, Phantom Dancer, Infinity Edge, Berserker's Greaves, Doran's Blade","Katarina, Hwei, Brand, Kalista, Kai'Sa"
Caitlyn,ADC,50.0,2,"Hexoptics C44, Infinity Edge, Rapid Firecannon, Berserker's Greaves, Doran's Blade","Vel'Koz, Hwei, Lux, Yunara, Aphelios"
Smolder,ADC,51.0,3,"Essence Reaver, Spear of Shojin, Rapid Firecannon, Ionian Boots of Lucidity, Doran's Blade","Yasuo, Kog'Maw, Veigar, Akshan, Irelia"
Jhin,ADC,50.0,2,"Hubris, The Collector, Infinity Edge, Boots of Swiftness, Doran's Blade","Katarina, Brand, Seraphine, Mel, Varus"
Vayne,ADC,51.0,2,"Blade of The Ruined King, Guinsoo's Rageblade, Terminus, Berserker's Greaves, Doran's Blade","Katarina, Miss Fortune, Yasuo, Malphite, Aurora"
Lucian,ADC,50.0,3,"Essence Reaver, Navori Flickerblade, Infinity Edge, Ionian Boots of Lucidity, Doran's Blade","Seraphine, Hwei, Vel'Koz, Zeri, Varus"
Miss Fortune,ADC,51.0,3,"Hubris, The Collector, Infinity Edge, Boots of Swiftness, Doran's Blade","Yasuo, Katarina, Vel'Koz, Varus, Vayne"
Samira,ADC,51.0,3,"The Collector, Infinity Edge, Lord Dominik's Regards, Plated Steelcaps, Doran's Blade","Swain, Vel'Koz, Senna, Kai'Sa, Ezreal"
Twitch,ADC,51.0,3,"The Collector, Fiendhunter Bolts, Infinity Edge, Berserker's Greaves, Doran's Blade","Nilah, Brand, Katarina, Varus, Sivir"
Xayah,ADC,52.0,3,"Essence Reaver, Navori Flickerblade, Infinity Edge, Berserker's Greaves, Doran's Blade","Swain, Hwei, Katarina, Kai'Sa, Twitch"
Kai'Sa,ADC,49.0,3,"Kraken Slayer, Guinsoo's Rageblade, Dusk and Dawn, Berserker's Greaves, Doran's Blade","Brand, Samira, Kog'Maw, Ziggs, Mel"
Swain,ADC,51.0,3,"Malignance, Rylai's Crystal Scepter, Zhonya's Hourglass, Plated Steelcaps, Doran's Ring","Milio, Fiddlesticks, Vel'Koz, Kalista, Vayne"
Senna,ADC,51.0,3,"Statikk Shiv, Hexoptics C44, Infinity Edge, Boots of Swiftness, Doran's Blade","Anivia, Seraphine, Vel'Koz, Lux, Tristana"
Kog'Maw,ADC,53.0,3,"Blade of The Ruined King, Guinsoo's Rageblade, Runaan's Hurricane, Berserker's Greaves, Doran's Blade","Aurelion Sol, Swain, Ziggs, Kai'Sa, Lucian"
Ezreal,ADC,48.0,3,"Tear of the Goddess, Trinity Force, Muramana, Endless Hunger, Ionian Boots of Lucidity","Katarina, Brand, Yasuo, Varus, Corki"
Sivir,ADC,51.0,4,"Essence Reaver, Navori Flickerblade, Infinity Edge, Berserker's Greaves, Doran's Blade","Aurelion Sol, Kog'Maw, Zeri, Ezreal, Jhin"
Nilah,ADC,53.0,4,"The Collector, Infinity Edge, Lord Dominik's Regards, Plated Steelcaps, Doran's Blade","Veigar, Xayah, Senna, Yunara, Kai'Sa"
Tristana,ADC,50.0,4,"Yun Tal Wildarrows, Infinity Edge, Navori Flickerblade, Berserker's Greaves, Doran's Blade","Katarina, Veigar, Draven, Senna, Yunara"
Katarina,ADC,51.0,3,"Kraken Slayer, Blade of The Ruined King, Terminus, Plated Steelcaps, Doran's Blade","Malphite, Kayle, Cho'Gath, Kalista, Samira"
Veigar,ADC,52.0,3,"Luden's Echo, Stormsurge, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Cho'Gath, Nasus, Xerath, Katarina, Ziggs"
Brand,ADC,52.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Liandry's Torment, Sorcerer's Shoes, Doran's Ring","Elise, Taric, Hwei, Aurora, Zed"
Yasuo,ADC,50.0,3,"Blade of The Ruined King, Immortal Shieldbow, Infinity Edge, Berserker's Greaves, Doran's Blade","Annie, Lissandra, Cho'Gath, Wukong, Zac"
Vel'Koz,ADC,52.0,3,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Fiddlesticks, Shaco, Hwei, Annie, Kassadin"
Draven,ADC,50.0,4,"Hubris, Hexoptics C44, Infinity Edge, Berserker's Greaves, Doran's Blade","Brand, Aurelion Sol, Hwei, Corki, Tristana"
Ziggs,ADC,51.0,4,"Luden's Echo, Horizon Focus, Shadowflame, Sorcerer's Shoes, Doran's Ring","Aurelion Sol, Vel'Koz, Nilah, Cassiopeia, Irelia"
Aurelion Sol,ADC,52.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Liandry's Torment, Sorcerer's Shoes, Doran's Ring","Fizz, LeBlanc, Naafiri, Zeri, Nilah"
Aphelios,ADC,49.0,4,"Hexoptics C44, Infinity Edge, Lord Dominik's Regards, Berserker's Greaves, Doran's Blade","Brand, Katarina, Seraphine, Kai'Sa, Yunara"
Yunara,ADC,49.0,4,"Kraken Slayer, Fiendhunter Bolts, Infinity Edge, Berserker's Greaves, Doran's Blade","Vel'Koz, Nilah, Hwei, Sivir, Kalista"
Lux,ADC,51.0,3,"Malignance, Stormsurge, Shadowflame, Sorcerer's Shoes, Doran's Ring","Elise, LeBlanc, Renata Glasc, Pantheon, Sion"
Hwei,ADC,51.0,3,"Blackfire Torch, Liandry's Torment, Shadowflame, Sorcerer's Shoes, Doran's Ring","Brand, Twisted Fate, Kayle, Swain, Kog'Maw"
Zeri,ADC,50.0,5,"Yun Tal Wildarrows, Fiendhunter Bolts, Infinity Edge, Berserker's Greaves, Doran's Blade","Hwei, Vel'Koz, Ziggs, Yunara, Kai'Sa"
Corki,ADC,48.0,5,"Tear of the Goddess, Trinity Force, Muramana, The Collector, Plated Steelcaps","Kog'Maw, Hwei, Katarina, Samira, Tristana"
Seraphine,ADC,52.0,2,"Tear of the Goddess, Blackfire Torch, Echoes of Helia, Diadem of Songs, Ionian Boots of Lucidity","Elise, Zilean, LeBlanc, Ziggs, Swain"
Varus,ADC,49.0,4,"Tear of the Goddess, Youmuu's Ghostblade, Muramana, Edge of Night, Boots of Swiftness","Veigar, Brand, Aurelion Sol, Udyr, Olaf"
Kalista,ADC,48.0,5,"Blade of The Ruined King, Guinsoo's Rageblade, Terminus, Berserker's Greaves, Doran's Blade","Ziggs, Vel'Koz, Jinx, Ezreal, Ashe"
Mel,ADC,45.0,5,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Veigar, Aurelion Sol, Kayle, Sona, Zilean"
Nami,SUPPORT,52.0,1,"Imperial Mandate, Moonstone Renewer, Ardent Censer, Ionian Boots of Lucidity, Health Potion","Taric, Janna, Elise, Mel, Xerath"
Thresh,SUPPORT,52.0,1,"Locket of the Iron Solari, Zeke's Convergence, Knight's Vow, Boots of Swiftness, Health Potion","Fiddlesticks, Taric, Hwei, Mel, Anivia"
Milio,SUPPORT,52.0,2,"Echoes of Helia, Moonstone Renewer, Ardent Censer, Ionian Boots of Lucidity, Health Potion","Hwei, Zoe, Blitzcrank, Mel, Swain"
Seraphine,SUPPORT,52.0,2,"Tear of the Goddess, Echoes of Helia, Diadem of Songs, Moonstone Renewer, Ionian Boots of Lucidity","Elise, Zilean, LeBlanc, Ziggs, Swain"
Soraka,SUPPORT,52.0,2,"Moonstone Renewer, Redemption, Dawncore, Ionian Boots of Lucidity, Health Potion","LeBlanc, Bard, Zyra, Pantheon, Pyke"
Janna,SUPPORT,53.0,3,"Moonstone Renewer, Redemption, Shurelya's Battlesong, Boots of Swiftness, Health Potion","Taric, Zilean, Sona, Alistar, Nautilus"
Lulu,SUPPORT,51.0,3,"Ardent Censer, Moonstone Renewer, Redemption, Ionian Boots of Lucidity, Health Potion","Galio, Hwei, Fiddlesticks, Mel, Poppy"
Braum,SUPPORT,52.0,3,"Bandlepipes, Locket of the Iron Solari, Knight's Vow, Plated Steelcaps, Health Potion","Zilean, Taric, Janna, Yuumi, Tahm Kench"
Sona,SUPPORT,52.0,3,"Tear of the Goddess, Echoes of Helia, Diadem of Songs, Moonstone Renewer, Ionian Boots of Lucidity","Taric, Galio, Alistar, Zyra, Morgana"
Leona,SUPPORT,51.0,3,"Locket of the Iron Solari, Bandlepipes, Knight's Vow, Plated Steelcaps, Health Potion","Zilean, Seraphine, Swain, Mel, Yuumi"
Bard,SUPPORT,51.0,3,"Dead Man's Plate, Bandlepipes, Locket of the Iron Solari, Boots of Swiftness, Health Potion","Maokai, Elise, Renata Glasc, Mel, Xerath"
Karma,SUPPORT,50.0,3,"Echoes of Helia, Moonstone Renewer, Redemption, Ionian Boots of Lucidity, Health Potion","Galio, Sona, Elise, Mel, Morgana"
Zilean,SUPPORT,53.0,3,"Shurelya's Battlesong, Bandlepipes, Imperial Mandate, Ionian Boots of Lucidity, Health Potion","Fiddlesticks, Tahm Kench, Soraka, Yuumi, Leona"
Nautilus,SUPPORT,50.0,3,"Locket of the Iron Solari, Bandlepipes, Knight's Vow, Plated Steelcaps, Health Potion","Rell, Leona, Taric, Mel, Xerath"
Rell,SUPPORT,52.0,3,"Zeke's Convergence, Locket of the Iron Solari, Knight's Vow, Plated Steelcaps, Health Potion","Zilean, Seraphine, Swain, Nautilus, Pyke"
Blitzcrank,SUPPORT,51.0,3,"Locket of the Iron Solari, Zeke's Convergence, Bandlepipes, Boots of Swiftness, Health Potion","Elise, Taric, Rell, Mel, Yuumi"
Brand,SUPPORT,52.0,3,"Rylai's Crystal Scepter, Liandry's Torment, Morellonomicon, Sorcerer's Shoes, Health Potion","Elise, Taric, Hwei, Aurora, Zed"
Morgana,SUPPORT,50.0,4,"Liandry's Torment, Zhonya's Hourglass, Rylai's Crystal Scepter, Ionian Boots of Lucidity, Health Potion","Shaco, Fiddlesticks, Janna, Annie, Katarina"
Lux,SUPPORT,51.0,3,"Luden's Echo, Stormsurge, Shadowflame, Sorcerer's Shoes, Health Potion","Elise, LeBlanc, Renata Glasc, Pantheon, Sion"
Alistar,SUPPORT,50.0,4,"Locket of the Iron Solari, Zeke's Convergence, Knight's Vow, Boots of Swiftness, Health Potion","Hwei, Zyra, Janna, Nautilus, Yuumi"
Pyke,SUPPORT,49.0,4,"Umbral Glaive, Youmuu's Ghostblade, Edge of Night, Boots of Swiftness, Health Potion","Rell, Soraka, Maokai, Mel, Senna"
Senna,SUPPORT,51.0,3,"Black Cleaver, Rapid Firecannon, Infinity Edge, Boots of Swiftness, Health Potion","Anivia, Seraphine, Vel'Koz, Lux, Tristana"
Zyra,SUPPORT,52.0,3,"Liandry's Torment, Rylai's Crystal Scepter, Morellonomicon, Sorcerer's Shoes, Health Potion","Sona, Galio, LeBlanc, Briar, Udyr"
Taric,SUPPORT,52.0,4,"Tear of the Goddess, Locket of the Iron Solari, Fimbulwinter, Knight's Vow, Plated Steelcaps","Vel'Koz, Zyra, Swain, Nautilus, Thresh"
Maokai,SUPPORT,51.0,4,"Trailblazer, Bandlepipes, Locket of the Iron Solari, Boots of Swiftness, Health Potion","Fiddlesticks, Zilean, Leona, Volibear, Illaoi"
Vel'Koz,SUPPORT,52.0,3,"Luden's Echo, Horizon Focus, Shadowflame, Sorcerer's Shoes, Health Potion","Fiddlesticks, Shaco, Hwei, Annie, Kassadin"
Rakan,SUPPORT,50.0,4,"Zeke's Convergence, Locket of the Iron Solari, Bandlepipes, Ionian Boots of Lucidity, Health Potion","Fiddlesticks, Renata Glasc, Hwei, Nautilus, Blitzcrank"
Elise,SUPPORT,51.0,3,"Stormsurge, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Health Potion","Taliyah, Amumu, Nasus, Shaco, Leona"
Yuumi,SUPPORT,49.0,4,"Mikael's Blessing, Moonstone Renewer, Ardent Censer, Ionian Boots of Lucidity, Health Potion","Fiddlesticks, Braum, Taric, Swain, Xerath"
Xerath,SUPPORT,51.0,2,"Luden's Echo, Horizon Focus, Shadowflame, Sorcerer's Shoes, Health Potion","Kayle, Sion, Cho'Gath, Elise, Renata Glasc"
Tahm Kench,SUPPORT,50.0,4,"Heartsteel, Thornmail, Spirit Visage, Plated Steelcaps, Health Potion","Braum, Rell, Hwei, Anivia, Zac"
Pantheon,SUPPORT,50.0,4,"Umbral Glaive, Eclipse, Black Cleaver, Plated Steelcaps, Health Potion","Zoe, Fiddlesticks, Zilean, Anivia, Poppy"
Swain,SUPPORT,51.0,3,"Rylai's Crystal Scepter, Liandry's Torment, Zhonya's Hourglass, Sorcerer's Shoes, Health Potion","Milio, Fiddlesticks, Vel'Koz, Kalista, Vayne"
Fiddlesticks,SUPPORT,52.0,3,"Malignance, Zhonya's Hourglass, Liandry's Torment, Sorcerer's Shoes, Health Potion","Rek'Sai, Gragas, Volibear, Alistar, Shaco"
Poppy,SUPPORT,50.0,4,"Dead Man's Plate, Locket of the Iron Solari, Bandlepipes, Boots of Swiftness, Health Potion","Janna, Renata Glasc, Lulu, Quinn, Warwick"
Neeko,SUPPORT,50.0,5,"Hextech Rocketbelt, Zhonya's Hourglass, Frozen Heart, Ionian Boots of Lucidity, Health Potion","Elise, Taric, Alistar, Lux, Bard"
Hwei,SUPPORT,51.0,3,"Blackfire Torch, Liandry's Torment, Shadowflame, Sorcerer's Shoes, Health Potion","Brand, Twisted Fate, Kayle, Swain, Kog'Maw"
Renata Glasc,SUPPORT,50.0,5,"Locket of the Iron Solari, Bandlepipes, Redemption, Ionian Boots of Lucidity, Health Potion","Taric, Leona, Milio, Nami, Thresh"
Anivia,SUPPORT,51.0,3,"Rod of Ages, Bandlepipes, Zhonya's Hourglass, Boots of Swiftness, Health Potion","Morgana, Aurelion Sol, Vel'Koz, Maokai, LeBlanc"
Shaco,SUPPORT,50.0,4,"Blackfire Torch, Liandry's Torment, Cryptbloom, Ionian Boots of Lucidity, Health Potion","Darius, Nasus, Teemo, Senna, Renata Glasc"
Galio,SUPPORT,50.0,4,"Locket of the Iron Solari, Thornmail, Bandlepipes, Plated Steelcaps, Health Potion","Kayle, Hwei, Cassiopeia, Zilean, Rell"
Shen,SUPPORT,52.0,3,"Heartsteel, Thornmail, Protoplasm Harness, Plated Steelcaps, Health Potion","Riven, Illaoi, Sett, Qiyana, Aatrox"
Zoe,SUPPORT,51.0,3,"Luden's Echo, Horizon Focus, Shadowflame, Sorcerer's Shoes, Health Potion","Nasus, Ziggs, Malzahar, Poppy, Morgana"
LeBlanc,SUPPORT,50.0,4,"Luden's Echo, Stormsurge, Shadowflame, Sorcerer's Shoes, Health Potion","Vex, Naafiri, Nasus, Elise, Swain"
Mel,SUPPORT,45.0,5,"Luden's Echo, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Health Potion","Veigar, Aurelion Sol, Kayle, Sona, Zilean"
