champion,position,win_rate,tier,core_items,hard_counters
Cho'Gath,TOP,50.0,4,"Hextech Rocketbelt, Riftmaker, Dead Man's Plate, Plated Steelcaps, Doran's Ring","Kayle, Udyr, Sett, Brand, Galio"
Poppy,TOP,50.0,4,"Tear of the Goddess, Sundered Sky, Fimbulwinter, Thornmail, Plated Steelcaps","Janna, Renata Glasc, Lulu, Quinn, Warwick"
Varus,TOP,49.0,4,"Dusk and Dawn, Nashor's Tooth, Riftmaker, Plated Steelcaps, Doran's Blade","Veigar, Brand, Aurelion Sol, Udyr, Olaf"
Tahm Kench,TOP,50.0,4,"Heartsteel, Dusk and Dawn, Riftmaker, Plated Steelcaps, Doran's Shield","Braum, Rell, Hwei, Anivia, Zac"
Zaahen,TOP,50.0,4,"Trinity Force, Sundered Sky, Death's Dance, Plated Steelcaps, Doran's Blade","Olaf, Swain, Urgot, Zyra, Nidalee"
Jayce,TOP,49.0,4,"Tear of the Goddess, Youmuu's Ghostblade, Muramana, Serylda's Grudge, Ionian Boots of Lucidity","Olaf, Poppy, Irelia, Sion, Malphite"
Cassiopeia,TOP,51.0,4,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Rylai's Crystal Scepter, Boots of Swiftness","Brand, Sion, Pantheon, Dr. Mundo, Yorick"
Illaoi,TOP,50.0,5,"Black Cleaver, Iceborn Gauntlet, Sterak's Gage, Plated Steelcaps, Doran's Shield","Cassiopeia, Varus, Mordekaiser, Jax, Shen"
Gragas,TOP,50.0,4,"Tear of the Goddess, Rod of Ages, Fimbulwinter, Cosmic Drive, Ionian Boots of Lucidity","Ornn, Heimerdinger, Wukong, Zyra, Amumu"
Yasuo,TOP,50.0,3,"Blade of The Ruined King, Immortal Shieldbow, Infinity Edge, Berserker's Greaves, Doran's Blade","Annie, Lissandra, Cho'Gath, Wukong, Zac"
Gwen,TOP,50.0,4,"Dusk and Dawn, Shadowflame, Rabadon's Deathcap, Plated Steelcaps, Doran's Ring","Master Yi, Singed, Yasuo, Ivern, Karthus"
Warwick,TOP,51.0,4,"Blade of The Ruined King, Stridebreaker, Spirit Visage, Plated Steelcaps, Doran's Blade","Taliyah, Skarner, Shen, Swain, Quinn"
Vladimir,TOP,50.0,4,"Hextech Rocketbelt, Riftmaker, Rabadon's Deathcap, Ionian Boots of Lucidity, Doran's Ring","Cho'Gath, Anivia, Vel'Koz, Udyr, Cassiopeia"
Rumble,TOP,49.0,5,"Liandry's Torment, Bloodletter's Curse, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Cassiopeia, Ryze, Anivia, K'Sante, Ambessa"
Heimerdinger,TOP,50.0,5,"Blackfire Torch, Liandry's Torment, Zhonya's Hourglass, Sorcerer's Shoes, Doran's Ring","Wukong, Udyr, Kled"
Sylas,TOP,50.0,3,"Hextech Rocketbelt, Riftmaker, Zhonya's Hourglass, Ionian Boots of Lucidity, Doran's Ring","Sion, Pantheon, Naafiri, Taliyah, Teemo"
Wukong,TOP,50.0,4,"Trinity Force, Black Cleaver, Sundered Sky, Plated Steelcaps, Doran's Blade","Zyra, Fizz, Ivern, Vladimir, Teemo"
Zac,TOP,51.0,4,"Sunfire Aegis, Spirit Visage, Thornmail, Plated Steelcaps, Doran's Shield","Jayce, Nidalee, Bel'Veth, Varus, Warwick"
Ryze,TOP,48.0,5,"Tear of the Goddess, Rod of Ages, Seraph's Embrace, Actualizer, Sorcerer's Shoes","Vel'Koz, Brand, Aurelion Sol, Pantheon, Dr. Mundo"
Aurora,TOP,50.0,4,"Luden's Echo, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Doran's Ring","Taliyah, Vex, Nasus, Cassiopeia, Quinn"
K'Sante,TOP,48.0,5,"Iceborn Gauntlet, Unending Despair, Jak'Sho, The Protean, Plated Steelcaps","Singed, Pantheon, Kayle, Jax, Zaahen"
Maokai,TOP,51.0,4,"Tear of the Goddess, Sunfire Aegis, Fimbulwinter, Spirit Visage, Plated Steelcaps","Fiddlesticks, Zilean, Leona, Volibear, Illaoi"
Swain,TOP,51.0,3,"Blackfire Torch, Rylai's Crystal Scepter, Zhonya's Hourglass, Plated Steelcaps, Doran's Ring","Milio, Fiddlesticks, Vel'Koz, Kalista, Vayne"
Udyr,TOP,50.0,4,"Malignance, Hextech Rocketbelt, Shadowflame, Plated Steelcaps, Doran's Ring","Jayce, Shen, Nunu & Willump, Anivia, Volibear"
Trundle,TOP,49.0,5,"Ravenous Hydra, Trinity Force, Hullbreaker, Plated Steelcaps, Doran's Blade","Zac, Riven, Anivia"
Master Yi,TOP,51.0,3,"Titanic Hydra, Blade of The Ruined King, Guinsoo's Rageblade, Berserker's Greaves, Doran's Blade","Ivern, Zyra, Darius, Kled, Fiora"
Nocturne,JUNGLE,52.0,1,"Experimental Hexplate, Stridebreaker, Black Cleaver, Plated Steelcaps, Scorchclaw Pup","Udyr, Nunu & Willump, Ivern, Naafiri, Kha'Zix"
Briar,JUNGLE,52.0,3,"Blade of The Ruined King, Black Cleaver, Death's Dance, Plated Steelcaps, Gustwalker Hatchling","Nasus, Taliyah, Teemo, Sylas, Diana"
Rammus,JUNGLE,53.0,3,"Thornmail, Sunfire Aegis, Jak'Sho, The Protean, Plated Steelcaps","Nunu & Willump, Skarner, Naafiri, Master Yi, Viego"
Lee Sin,JUNGLE,50.0,2,"Eclipse, Sundered Sky, Death's Dance, Plated Steelcaps, Scorchclaw Pup","Zyra, Fiddlesticks, Taliyah, Zed, Kha'Zix"
Naafiri,JUNGLE,51.0,2,"Hubris, Axiom Arc, Serylda's Grudge, Ionian Boots of Lucidity, Scorchclaw Pup","Nocturne, Diana, Zyra, Kayle, Pantheon"
Shyvana,JUNGLE,51.0,3,"Kraken Slayer, Dusk and Dawn, Sundered Sky, Plated Steelcaps, Scorchclaw Pup","Darius, Sylas, Bel'Veth, Diana, Amumu"
Graves,JUNGLE,50.0,2,"Hubris, The Collector, Lord Dominik's Regards, Plated Steelcaps, Scorchclaw Pup","Zyra, Fiddlesticks, Naafiri, Qiyana, Pantheon"
Master Yi,JUNGLE,51.0,3,"Kraken Slayer, Guinsoo's Rageblade, Experimental Hexplate, Berserker's Greaves, Gustwalker Hatchling","Ivern, Zyra, Darius, Kled, Fiora"
Rek'Sai,JUNGLE,52.0,3,"Stridebreaker, Spear of Shojin, Sterak's Gage, Plated Steelcaps, Scorchclaw Pup","Darius, Aatrox, Zyra, Viego, Ambessa"
Fiddlesticks,JUNGLE,52.0,3,"Malignance, Liandry's Torment, Zhonya's Hourglass, Sorcerer's Shoes, Gustwalker Hatchling","Rek'Sai, Gragas, Volibear, Alistar, Shaco"
Xin Zhao,JUNGLE,51.0,3,"Sundered Sky, Black Cleaver, Death's Dance, Plated Steelcaps, Gustwalker Hatchling","Nasus, Taliyah, Elise, Nidalee, Rengar"
Jarvan IV,JUNGLE,51.0,3,"Sundered Sky, Black Cleaver, Guardian Angel, Plated Steelcaps, Scorchclaw Pup","Bel'Veth, Fizz, Nunu & Willump, Rengar, Dr. Mundo"
Nunu & Willump,JUNGLE,52.0,4,"Liandry's Torment, Frozen Heart, Kaenic Rookern, Plated Steelcaps, Gustwalker Hatchling","Rek'Sai, Bel'Veth, Ivern, Graves, Viego"
Kayn,JUNGLE,51.0,3,"Hubris, Axiom Arc, Serylda's Grudge, Ionian Boots of Lucidity, Gustwalker Hatchling","Zyra, Ivern, Fiddlesticks, Volibear, Dr. Mundo"
Bel'Veth,JUNGLE,51.0,4,"Kraken Slayer, Stridebreaker, Death's Dance, Plated Steelcaps, Gustwalker Hatchling","Rammus, Rek'Sai, Nasus, Viego, Jarvan IV"
Zyra,JUNGLE,52.0,3,"Liandry's Torment, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Sona, Galio, LeBlanc, Briar, Udyr"
Viego,JUNGLE,50.0,3,"Kraken Slayer, The Collector, Immortal Shieldbow, Plated Steelcaps, Gustwalker Hatchling","Bel'Veth, Rek'Sai, Qiyana, Dr. Mundo, Ivern"
Elise,JUNGLE,51.0,3,"Stormsurge, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Taliyah, Amumu, Nasus, Shaco, Leona"
Nasus,JUNGLE,51.0,3,"Trinity Force, Protoplasm Harness, Jak'Sho, The Protean, Boots of Swiftness","Anivia, Wukong, Pantheon, Sejuani, Darius"
Diana,JUNGLE,51.0,3,"Dusk and Dawn, Riftmaker, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Nasus, Cassiopeia, Sion, Volibear, Gwen"
Lillia,JUNGLE,51.0,4,"Liandry's Torment, Riftmaker, Zhonya's Hourglass, Sorcerer's Shoes, Gustwalker Hatchling","Rengar, Elise, Rek'Sai, Sylas, Zac"
Evelynn,JUNGLE,51.0,4,"Dark Seal, Lich Bane, Mejai's Soulstealer, Rabadon's Deathcap, Sorcerer's Shoes","Rengar, Briar, Zac, Viego, Xin Zhao"
Ekko,JUNGLE,51.0,3,"Dusk and Dawn, Shadowflame, Rabadon's Deathcap, Sorcerer's Shoes, Scorchclaw Pup","Taliyah, Nasus, Darius, Pantheon, Vladimir"
Shaco,JUNGLE,50.0,4,"Youmuu's Ghostblade, The Collector, Infinity Edge, Berserker's Greaves, Gustwalker Hatchling","Darius, Nasus, Teemo, Senna, Renata Glasc"
Kindred,JUNGLE,51.0,4,"Kraken Slayer, The Collector, Lord Dominik's Regards, Plated Steelcaps, Scorchclaw Pup","Skarner, Taliyah, Volibear, Viego, Ambessa"
Warwick,JUNGLE,51.0,4,"Stridebreaker, Blade of The Ruined King, Thornmail, Plated Steelcaps, Gustwalker Hatchling","Taliyah, Skarner, Shen, Swain, Quinn"
Kha'Zix,JUNGLE,50.0,4,"Umbral Glaive, Bastionbreaker, Edge of Night, Ionian Boots of Lucidity, Gustwalker Hatchling","Naafiri, Zyra, Rengar, Zed, Master Yi"
Fizz,JUNGLE,52.0,3,"Dusk and Dawn, Nashor's Tooth, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Sion, Diana, Akshan, Teemo, Gwen"
Sylas,JUNGLE,50.0,3,"Hextech Rocketbelt, Riftmaker, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Sion, Pantheon, Naafiri, Taliyah, Teemo"
Talon,JUNGLE,50.0,4,"Hubris, Umbral Glaive, Axiom Arc, Ionian Boots of Lucidity, Scorchclaw Pup","Bel'Veth, Darius, Aatrox, Morgana, Pantheon"
Jax,JUNGLE,50.0,3,"Trinity Force, Sundered Sky, Zhonya's Hourglass, Plated Steelcaps, Gustwalker Hatchling","Quinn, Zac, Cassiopeia, Fiddlesticks, Malphite"
Aatrox,JUNGLE,50.0,3,"Hubris, Sundered Sky, Death's Dance, Plated Steelcaps, Scorchclaw Pup","Malphite, Heimerdinger, Kayle, Darius, Master Yi"
Vi,JUNGLE,50.0,4,"Sundered Sky, Black Cleaver, Guardian Angel, Plated Steelcaps, Gustwalker Hatchling","Zyra, Ekko, Shaco, Sylas, Elise"
Volibear,JUNGLE,50.0,4,"Dusk and Dawn, Navori Flickerblade, Spirit Visage, Mercury's Treads, Gustwalker Hatchling","Cassiopeia, Ryze, Kayle, Elise, Darius"
Ambessa,JUNGLE,49.0,3,"Hubris, Axiom Arc, Death's Dance, Plated Steelcaps, Scorchclaw Pup","Rammus, Taliyah, Master Yi, Maokai, Warwick"
Shen,JUNGLE,52.0,3,"Protoplasm Harness, Unending Despair, Abyssal Mask, Plated Steelcaps, Scorchclaw Pup","Riven, Illaoi, Sett, Qiyana, Aatrox"
Zac,JUNGLE,51.0,4,"Hextech Rocketbelt, Sunfire Aegis, Spirit Visage, Ionian Boots of Lucidity, Scorchclaw Pup","Jayce, Nidalee, Bel'Veth, Varus, Warwick"
Udyr,JUNGLE,50.0,4,"Liandry's Torment, Dead Man's Plate, Spirit Visage, Boots of Swiftness, Gustwalker Hatchling","Jayce, Shen, Nunu & Willump, Anivia, Volibear"
Amumu,JUNGLE,51.0,4,"Liandry's Torment, Sunfire Aegis, Abyssal Mask, Plated Steelcaps, Mosstomper Seedling","Teemo, Fizz, Sylas, Viego, Briar"
Ivern,JUNGLE,51.0,4,"Redemption, Moonstone Renewer, Ardent Censer, Ionian Boots of Lucidity, Gustwalker Hatchling","Shaco, Aatrox, Volibear, Lee Sin, Viego"
Darius,JUNGLE,50.0,3,"Youmuu's Ghostblade, Dead Man's Plate, Force of Nature, Boots of Swiftness, Gustwalker Hatchling","Anivia, Varus, Cassiopeia, Elise, Evelynn"
Hecarim,JUNGLE,50.0,4,"Spear of Shojin, Black Cleaver, Death's Dance, Ionian Boots of Lucidity, Gustwalker Hatchling","Taliyah, Teemo, Ivern, Naafiri, Talon"
Zaahen,JUNGLE,50.0,4,"Trinity Force, Sundered Sky, Death's Dance, Plated Steelcaps, Gustwalker Hatchling","Olaf, Swain, Urgot, Zyra, Nidalee"
Taliyah,JUNGLE,50.0,5,"Blackfire Torch, Shadowflame, Zhonya's Hourglass, Sorcerer's Shoes, Scorchclaw Pup","Twisted Fate, Katarina, Ekko, Darius, Rammus"
Sejuani,JUNGLE,51.0,4,"Heartsteel, Unending Despair, Thornmail, Plated Steelcaps, Mosstomper Seedling","Ivern, Jayce, Gwen, Viego, Nocturne"
